"filename", "language", "JavaScript", "Vue.js", "SCSS", "comment", "blank", "total"
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\store\plugins\saveToLocalStorage.js", "JavaScript", 7, 0, 0, 3, 1, 11
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\store\state.js", "JavaScript", 38, 0, 0, 0, 0, 38
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\utils\auth.js", "JavaScript", 4, 0, 0, 0, 2, 6
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\utils\request.js", "JavaScript", 39, 0, 0, 3, 5, 47
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\utils\tools.js", "JavaScript", 22, 0, 0, 5, 1, 28
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\views\Constructing.vue", "Vue.js", 0, 131, 0, 0, 6, 137
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\views\Home.vue", "Vue.js", 0, 125, 0, 25, 9, 159
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\views\HotTag.vue", "Vue.js", 0, 73, 0, 2, 7, 82
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\views\Message.vue", "Vue.js", 0, 122, 0, 1, 8, 131
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\views\PostDetail.vue", "Vue.js", 0, 108, 0, 1, 7, 116
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\views\Search.vue", "Vue.js", 0, 73, 0, 2, 7, 82
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\views\User.vue", "Vue.js", 0, 71, 0, 6, 7, 84
"Total", "-", 758, 4911, 97, 349, 316, 6431
