"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "Vue.js", "JSON with Comments", "SCSS", "Vue", "comment", "blank", "total"
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\components\UserInfoCard.vue", "Vue.js", 0, 0, 0, 0, 229, 0, 0, 0, 3, 6, 238
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\components\UserList.vue", "Vue.js", 0, 0, 0, 0, 116, 0, 0, 0, 7, 8, 131
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\components\model\LeftDrawerModel.vue", "Vue.js", 0, 0, 0, 0, 71, 0, 0, 0, 0, 4, 75
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\components\model\LoginModel.vue", "Vue.js", 0, 0, 0, 0, 255, 0, 0, 0, 16, 16, 287
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\components\model\PostModel.vue", "Vue.js", 0, 0, 0, 0, 253, 0, 0, 0, 19, 9, 281
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\components\model\ProgressModel.vue", "Vue.js", 0, 0, 0, 0, 39, 0, 0, 0, 0, 2, 41
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\components\model\RightDrawerModel.vue", "Vue.js", 0, 0, 0, 0, 39, 0, 0, 0, 0, 3, 42
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\local\index.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 3, 2, 16
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\local\lang\zh-CN.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\main.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 13, 8, 36
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\router\index.js", "JavaScript", 166, 0, 0, 0, 0, 0, 0, 0, 13, 4, 183
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\store\actions.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 15, 3, 112
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\store\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 1, 3, 16
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\store\mutations.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 2, 1, 34
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\store\plugins\saveToLocalStorage.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 3, 1, 11
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\store\state.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\utils\auth.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\utils\request.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 3, 5, 47
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\utils\tools.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 5, 1, 28
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\views\Constructing.vue", "Vue.js", 0, 0, 0, 0, 131, 0, 0, 0, 0, 6, 137
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\views\Home.vue", "Vue.js", 0, 0, 0, 0, 125, 0, 0, 0, 25, 9, 159
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\views\HotTag.vue", "Vue.js", 0, 0, 0, 0, 73, 0, 0, 0, 2, 7, 82
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\views\Message.vue", "Vue.js", 0, 0, 0, 0, 122, 0, 0, 0, 1, 8, 131
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\views\PostDetail.vue", "Vue.js", 0, 0, 0, 0, 108, 0, 0, 0, 1, 7, 116
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\views\Search.vue", "Vue.js", 0, 0, 0, 0, 73, 0, 0, 0, 2, 7, 82
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\views\User.vue", "Vue.js", 0, 0, 0, 0, 71, 0, 0, 0, 6, 7, 84
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\vue.config.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 1, 2, 39
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -61, -5, -4, -70
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\api\auth.js", "JavaScript", -41, 0, 0, 0, 0, 0, 0, 0, -12, -5, -58
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\api\post.js", "JavaScript", -60, 0, 0, 0, 0, 0, 0, 0, -25, -6, -91
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\api\tags.js", "JavaScript", -24, 0, 0, 0, 0, 0, 0, 0, -6, -3, -33
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\api\user.js", "JavaScript", -86, 0, 0, 0, 0, 0, 0, 0, -27, -3, -116
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\assets\css\global.scss", "SCSS", 0, 0, 0, 0, 0, 0, -97, 0, -2, -10, -109
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\CommentCard copy.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -64, 0, -3, -67
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\CommentCard.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -423, -32, -5, -460
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\EditButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -39, 0, -3, -42
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\FollowCard.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -66, 0, -8, -74
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\Footer.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -21, -1, -2, -24
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\LeftSideBar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -73, 0, -5, -78
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\MineInfo.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -261, 0, -14, -275
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\MinePost.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -141, -11, -11, -163
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\OldTopNavBar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -68, -1, -4, -73
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\PostCard.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -498, -9, -6, -513
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\PostList.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -150, -2, -4, -156
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\RightSideBar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -106, -1, -5, -112
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\TagPost.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -107, -8, -12, -127
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\TopNavBar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -199, -35, -12, -246
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\UserInfoCard.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -212, -3, -5, -220
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\UserList.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -116, -7, -8, -131
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\model\LeftDrawerModel.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -70, 0, -4, -74
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\model\LoginModel.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -255, -16, -16, -287
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\components\model\PostModel.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, -37, -179, -1, -217
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\local\index.js", "JavaScript", -11, 0, 0, 0, 0, 0, 0, 0, -3, -2, -16
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\local\lang\zh-CN.js", "JavaScript", -24, 0, 0, 0, 0, 0, 0, 0, 0, -1, -25
"c:\Users\86191\Desktop\前端\Vue\项目\DHUExchangeStuff\src\main.js", "JavaScript", -15, 0, 0, 0, 0, 0, 0, 0, -13, -8, -36
